路線名稱,公車代碼,方向
棕15,0114001500,去程
棕18,0114001800,去程
棕19,0114001900,去程
棕20,0114002000,去程
棕21,0114002100,去程
棕22,0114002200,去程
橘1,0415000100,去程
橘2,0415000200,去程
橘3,0415000300,去程
橘5,0415000500,去程
橘9,0415000900,去程
橘10,0415001000,去程
橘12,0415001200,去程
橘13,0415001300,去程
橘17,0415001700,去程
橘18,0415001800,去程
橘18福隆路,0415001870,去程
橘19,0415001900,去程
橘19副,0415001910,去程
橘20,0415002000,去程
橘21,0415002100,去程
橘22,0415002200,去程
橘25,0415002500,去程
橘26,0415002600,去程
安坑1線,0421000100,去程
安坑2線,0421000200,去程
安坑3線,0421000300,去程
安坑5線,0421000500,去程
安坑6線,0421000600,去程
小1,0151000100,去程
小1區,0151000120,去程
小2,0151000200,去程
小2區,0151000220,去程
小3,0151000300,去程
小5,0151000500,去程
小5區,0151000520,去程
小6,0151000600,去程
小7,0151000700,去程
小8,0151000800,去程
小8區,0151000820,去程
小9(台灣好行-北投竹子湖),0151000900,去程
小9區,0151000920,去程
小10,0151001000,去程
小10區,0151001020,去程
小11,0151001100,去程
小12,0151001200,去程
小14,0151001400,去程
小15,0151001500,去程
小15區,0151001520,去程
小16,0151001600,去程
小17,0151001700,去程
小18,0151001800,去程
小19,0151001900,去程
小21,0151002100,去程
小22,0151002200,去程
小23,0151002300,去程
小25,0151002500,去程
小26,0151002600,去程
小28,0151002800,去程
小30,0151003000,去程
小36,0151003600,去程
小39,0151003900,去程
907通勤,0100090790,去程
通勤7,0162000700,去程
通勤9,0162000900,去程
通勤11,0152003500,去程
通勤12,0152003600,去程
通勤13,0152003700,去程
通勤16,0152003800,去程
通勤18,0152004500,去程
通勤21,0152004400,去程
通勤22,0152004200,去程
通勤24,0152004700,去程
通勤25,0152004900,去程
通勤26,0152005000,去程
通勤27,0152005100,去程
通勤28,0152005200,去程
通勤29,0152005300,去程
市民小巴1,0153000100,去程
市民小巴2,0153000200,去程
市民小巴5,0153000500,去程
市民小巴6,0153000600,去程
市民小巴7,0153000700,去程
市民小巴8,0153000800,去程
市民小巴9,0153000900,去程
市民小巴10,0153001000,去程
市民小巴11,0153001100,去程
市民小巴12,0153001200,去程
市民小巴15,0153001500,去程
市民小巴16,0153001600,去程
市民小巴17,0153001700,去程
市民小巴18,0153001800,去程
F101坪頂,0454010100,去程
F101樹興,0454010170,去程
F102,0454010200,去程
F103,0454010300,去程
F105,0454010500,去程
F105反,0454010590,去程
F106,0454010690,去程
F109,0454010900,去程
F121,0454012100,去程
F122,0454012200,去程
F123-0640、0700,0454012380,去程
F123-1205,0454012390,去程
F123-1550,0454012370,去程
F126,0454012600,去程
F126江厝,0454012670,去程
F126經里中,0454012690,去程
F131,0454013100,去程
F132,0454013200,去程
F132經青山,0454013210,去程
F133平日,0454013300,去程
F133假日,0454013360,去程
F133末班,0454013380,去程
F135,0454013500,去程
F136,0454013600,去程
F137,0454013700,去程
F138內橫山,0454013800,去程
F138新古庄,0454013870,去程
F139行經101線,0454013970,去程
F139行經台2線,0454013900,去程
F151-0605,0454015180,去程
F151-0620,0454015100,去程
F151-0655、1030,0454115100,去程
F151-0730,0454015110,去程
F151-0800,0454015190,去程
F151-0830、1655,0454015170,去程
F151-0930,0454015120,去程
F151-1000,0454015130,去程
F151-1605,0454015140,去程
F151-1625,0454015150,去程
F151-1730,0454215100,去程
F151-1800,0454015160,去程
F152-0600,0454015280,去程
F152-0620、0745,04540152A0,去程
F152-0635,0454015200,去程
F152-0700,0454015210,去程
F152-0810,0454015220,去程
F152-0845,0454015290,去程
F152-0925,0454015230,去程
F152-0950,04540152C0,去程
F152-1545,0454015240,去程
F152-1630,04540152D0,去程
F152-1655,0454015250,去程
F152-1720,0454015260,去程
F152-1740,04540152E0,去程
F152-1800,04540152B0,去程
F153-0620,0454015380,去程
F153-0730、0945,0454015330,去程
F153-0820,0454015340,去程
F153-1030,0454015350,去程
F153-1605,0454015360,去程
F153-1730,0454015370,去程
F161,0454016100,去程
F201,0454020100,去程
F202,0454020200,去程
F205,0454020500,去程
F206,0454020600,去程
F207,0454020700,去程
F211,0454021100,去程
F212,0454021200,去程
F212副,0454021210,去程
F212楓江,0454021290,去程
F213,0454021300,去程
F213黎明,0454021370,去程
F217,0454021700,去程
F218,0454021800,去程
F233,0454023300,去程
F235,0454023500,去程
F236,0454023600,去程
F237,0454023700,去程
F238,0454023800,去程
F239,0454023900,去程
F250,0454025000,去程
F301,0454030190,去程
F302,0454030200,去程
F303,0454030300,去程
F312,0454031200,去程
F317,0454031700,去程
F319,0454031900,去程
F320,0454032000,去程
F512,0454051200,去程
F512副,0454051210,去程
F513,0454051300,去程
F521,0454052100,去程
F522,0454052200,去程
F523,0454052300,去程
F525,0454052500,去程
F526,0454052600,去程
